statnm,statid,chgerid,chgertype,addrdoro,lat,lng,usetime,stat
장동 주차장 4,ME19B109,01,04,대전광역시 대덕구 장동 210-14,36.417357,127.441785,24시간 이용가능,2
탄방동 제1공영주차장,ME19B110,01,04,대전광역시 서구 탄방동 1379,36.345528,127.399952,24시간 이용가능,2
용문동 제2공영주차장,ME19B111,01,04,대전광역시 서구 용문동 263-9,36.335987,127.390425,24시간 이용가능,2
변동 제1공영주차장,ME19B112,01,04,대전광역시 서구 변동 47-32,36.324421,127.380218,24시간 이용가능,1
기성동 공영주차장,ME19B113,01,04,대전광역시 서구 흑석동 966,36.25405,127.341215,24시간 이용가능,2
복수동 제5공영주차장,ME19B114,01,04,대전광역시 서구 복수동 781,36.297703,127.378104,24시간 이용가능,1
한국지질자원연구원,ME19B115,11,04,대전광역시 유성구 과학로 124,36.37777,127.362448,24시간 이용가능,2
한국지질자원연구원,ME19B115,12,04,대전광역시 유성구 과학로 124,36.37777,127.362448,24시간 이용가능,3
안영동 제3노외 주차장,ME19B116,01,04,대전광역시 중구 안영동 663,36.290528,127.379446,24시간 이용가능,2
안영동 제2노외 공영주차장,ME19B117,01,04,대전광역시 중구 안영동 697,36.284983,127.382646,24시간 이용가능,1
한솔동 복합커뮤니티센터 정음관,ME19B118,12,04,세종특별자치시 한솔동 961,36.477651,127.255946,09:00 ~ 18:00,2
한솔동 복합커뮤니티센터 정음관,ME19B118,11,04,세종특별자치시 한솔동 961,36.477651,127.255946,09:00 ~ 18:00,2
고복저수지 연기대첩비공원 주차장,ME19B119,01,04,세종특별자치시 연서면 용암리 208-5,36.599689,127.228287,24시간 이용가능,2
고흥읍 서문주차장,ME19B120,01,04,전라남도 고흥군 고흥읍 서문리 154,34.611301,127.281756,24시간 이용가능,2
곡성섬진강기차마을,ME19B121,12,04,전라남도 곡성군 오곡면 오지리 845-3,35.276088,127.309345,24시간 이용가능,2
곡성섬진강기차마을,ME19B121,11,04,전라남도 곡성군 오곡면 오지리 845-3,35.276088,127.309345,24시간 이용가능,2
나주문화예술회관,ME19B122,11,04,전라남도 나주시 예향로 4137,35.022262,126.71305,24시간 이용가능,2
나주문화예술회관,ME19B122,12,04,전라남도 나주시 예향로 4137,35.022262,126.71305,24시간 이용가능,2
나주시의회,ME19B123,01,04,전라남도 나주시 송월동 1100,35.014588,126.711112,24시간 이용가능,2
나주종합스포츠파크,ME19B124,11,04,전라남도 나주시 송월동 1078-2,35.012611,126.717464,24시간 이용가능,2
나주종합스포츠파크,ME19B124,12,04,전라남도 나주시 송월동 1078-2,35.012611,126.717464,24시간 이용가능,2
남평재가복지센터,ME19B125,01,04,전라남도 나주시 남평읍 남평리 66,35.045171,126.841235,24시간 이용가능,3
담양소방서,ME19B126,01,04,전라남도 담양군 담양읍 추성로 1232,35.318233,126.972914,24시간 이용가능,1
남교공영주차장,ME19B127,01,04,전라남도 목포시 남교동 57,34.794037,126.381034,24시간 이용가능,2
유달산공원유료주차장,ME19B128,01,04,전라남도 목포시 측후동 4,34.789033,126.381371,24시간 이용가능,2
비파공영주차장,ME19B129,01,04,전라남도 목포시 상동 32,34.807587,126.420418,24시간 이용가능,2
이로시장공영주차장,ME19B130,01,04,전라남도 목포시 용당동 993-2,34.805013,126.40418,24시간 이용가능,1
봇재,ME19B131,11,04,전라남도 보성군 보성읍 녹차로 750,34.713249,127.088039,24시간 이용가능,1
봇재,ME19B131,12,04,전라남도 보성군 보성읍 녹차로 750,34.713249,127.088039,24시간 이용가능,1
복내면사무소 주차장,ME19B132,12,04,전라남도 보성군 복내면 복내리 435-30,34.893136,127.131565,24시간 이용가능,2
복내면사무소 주차장,ME19B132,11,04,전라남도 보성군 복내면 복내리 435-30,34.893136,127.131565,24시간 이용가능,2
보성읍사무소 주차장,ME19B133,01,04,전라남도 보성군 보성읍 보성리 902-4,34.768472,127.080424,24시간 이용가능,3
주암농공단지,ME19B134,01,04,전라남도 순천시 주암면 주석로 276-1,35.098906,127.245768,24시간 이용가능,2
남제게이트볼장,ME19B135,01,04,전라남도 순천시 남정동 256-6,34.941318,127.484792,24시간 이용가능,2
순천조례호수도서관,ME19B136,01,04,전라남도 순천시 조례2길 31,34.9639,127.524837,24시간 이용가능,1
근로복지공단 순천병원,ME19B137,01,04,전라남도 순천시 조례1길 24,34.9606,127.524321,24시간 이용가능,2
자은면사무소 주차장,ME19B138,01,04,전라남도 신안군 자은면 구영1길 8,34.883997,126.047251,24시간 이용가능,2
지도읍 노인복지센터,ME19B139,01,04,전라남도 신안군 지도읍 읍내리 351,35.056889,126.205348,24시간 이용가능,2
신안군청 민원인주차장,ME19B140,01,04,전라남도 신안군 압해읍 천사로 1004,34.834413,126.351748,24시간 이용가능,2
관저문예회관 공영주차장,ME19B141,11,04,대전광역시 서구 관저동 1199,36.301684,127.339321,24시간 이용가능,2
관저문예회관 공영주차장,ME19B141,12,04,대전광역시 서구 관저동 1199,36.301684,127.339321,24시간 이용가능,2
고인돌공원 앞 주차장,ME19B142,01,04,전라남도 여수시 화장동 945-1,34.778156,127.647392,24시간 이용가능,2
해남읍사무소 주차장,ME19B143,01,04,전라남도 해남군 해남읍 고도리 479-2,34.56514,126.598897,24시간 이용가능,2
상암보건지소,ME19B144,01,04,전라남도 여수시 상암3길 9,34.825189,127.731975,24시간 이용가능,2
돌산공원 주차장,ME19B145,01,04,전라남도 여수시 돌산읍 우두리 799-76,34.731367,127.740166,24시간 이용가능,1
홍농읍사무소 주차장,ME19B146,01,04,전라남도 영광군 홍농읍 상하리 267,35.395889,126.445502,24시간 이용가능,2
군외면사무소,ME19B147,01,04,전라남도 완도군 군외면 청해진서로 2148,34.389476,126.647589,24시간 이용가능,2
진도대교광장,ME19B148,01,04,전라남도 진도군 군내면 녹진리 산 7-10,34.569518,126.300084,24시간 이용가능,2
월야 달맞이문화센터,ME19B149,01,04,전라남도 함평군 월야면 월야리 758-15,35.179714,126.624998,24시간 이용가능,3
학교면사무소,ME19B150,01,04,전라남도 함평군 학교면 학다리길 330,35.016849,126.537501,24시간 이용가능,1
해남 광주은행 뒤편 공영 주차장,ME19B151,01,04,전라남도 해남군 해남읍 해리 439-3,34.571296,126.605642,24시간 이용가능,2
해남 문내면사무소 주차장,ME19B152,01,04,전라남도 해남군 문내면 동영길 10,34.596631,126.31396,24시간 이용가능,2
송지면사무소,ME19B153,01,04,전라남도 해남군 송지면 산정1길 96,34.369159,126.519141,24시간 이용가능,3
해남공원 공영 주차장,ME19B154,01,04,전라남도 해남군 해남읍 구교리 308,34.575344,126.59155,24시간 이용가능,1
해남 서림공원 공영 주차장,ME19B155,01,04,전라남도 해남군 해남읍 남외리 17,34.57332,126.59309,24시간 이용가능,2
동복면사무소 주차장,ME19B156,01,04,전라남도 화순군 동복면 석등길 11,35.070975,127.128469,24시간 이용가능,1
사매면보건지소,ME19B157,01,04,전라북도 남원시 사매면 오신1길 8,35.497843,127.360343,24시간 이용가능,2
삼례시장 주차장,ME19B158,01,04,전라북도 완주군 삼례읍 삼례리 1410,35.910105,127.072718,24시간 이용가능,2
구이면사무소,ME19B159,01,04,전라북도 완주군 구이면 구이로 1482,35.731976,127.120308,24시간 이용가능,2
오산면행정복지센터,ME19B160,01,04,전라북도 익산시 오산면 평동로 323,35.938599,126.916585,24시간 이용가능,3
관촌1구 공영주차장,ME19B161,01,04,전라북도 임실군 관촌면 관촌리 299-10,35.673301,127.269031,24시간 이용가능,3
국립전주박물관,ME19B162,01,04,전라북도 전주시 완산구 쑥고개로 249,35.800405,127.092369,24시간 이용가능,2
송천2동(시영)공영주차장,ME19B163,01,04,전라북도 전주시 덕진구 송천동2가 1257,35.867871,127.114379,24시간 이용가능,3
아중지구롯데APT옆공영주차장,ME19B164,01,04,전라북도 전주시 덕진구 정언신로 151,35.831669,127.170714,24시간 이용가능,2
세병공원,ME19B165,01,04,전라북도 전주시 덕진구 송천동2가 1316,35.879621,127.132533,24시간 이용가능,1
